ESP,ENG,FRA,POR
Aceptar,Accept,Accepter,Aceitar
Cancelar,Cancel,Annuler,Cancelar
E para interactuar,E to interact,E pour interagir,E para interagir
Misión #1,Mission #1,Mission n°1,Missão #1
Recorre tu mundo,Explore your world,Explore ton monde,Explore seu mundo
Han llegado informes preocupantes: el Lago Sagrado está contaminado. El agua ya no brilla como antes y la vida a su alrededor empieza a verse afectada. Nuestra misión es clara: debemos limpiarlo y restaurar su equilibrio.,"Concerning reports have arrived: the Sacred Lake is contaminated. The water no longer shines as it once did, and the life around it is beginning to be affected. Our mission is clear: we must clean it and restore its balance.",Des rapports inquiétants sont arrivés : le Lac Sacré est contaminé. L’eau ne brille plus comme avant et la vie autour de lui commence à être affectée. Notre mission est claire : nous devons le nettoyer et rétablir son équilibre.,Relatórios preocupantes chegaram: o Lago Sagrado está contaminado. A água já não brilha como antes e a vida ao seu redor começa a ser afetada. Nossa missão é clara: devemos limpá-lo e restaurar seu equilíbrio.
Recolecta las muestras de agua,Collect the water samples,Collecte les échantillons d’eau,Colete as amostras de água
"Hoy empezamos la misión de recolección de agua residual. Camino con cuidado entre las tuberías y desagües del laboratorio, buscando los puntos donde el agua usada se acumula. Cada muestra que recojo no es solo “agua sucia”: es información sobre lo que estamos consumiendo, desperdiciando y devolviendo al ambiente. Etiqueto los frascos uno por uno, anoto la hora y el lugar exacto de la toma, porque después estos datos serán clave para el análisis. Mientras lleno el último contenedor, pienso que, si entendemos mejor estas aguas, también podremos diseñar formas más inteligentes y responsables de usarlas en el futuro.","Today we begin the wastewater collection mission. I walk carefully among the laboratory pipes and drains, looking for the points where used water accumulates. Each sample I collect is not just “dirty water”: it is information about what we are consuming, wasting, and returning to the environment. I label the bottles one by one and record the exact time and location of each collection, because these data will later be key for analysis. As I fill the last container, I think that if we better understand these waters, we will also be able to design smarter and more responsible ways to use them in the future.","Aujourd’hui, nous commençons la mission de collecte des eaux usées. Je marche avec précaution entre les tuyaux et les canalisations du laboratoire, en cherchant les points où l’eau utilisée s’accumule. Chaque échantillon que je recueille n’est pas seulement de « l’eau sale » : c’est une information sur ce que nous consommons, gaspillons et rejetons dans l’environnement. J’étiquette les flacons un par un et je note l’heure ainsi que le lieu exact du prélèvement, car ces données seront ensuite essentielles pour l’analyse. En remplissant le dernier conteneur, je pense que si nous comprenons mieux ces eaux, nous pourrons aussi concevoir des manières plus intelligentes et responsables de les utiliser à l’avenir.","Hoje começamos a missão de coleta de água residual. Caminho com cuidado entre as tubulações e ralos do laboratório, procurando os pontos onde a água usada se acumula. Cada amostra que recolho não é apenas “água suja”: é informação sobre o que estamos consumindo, desperdiçando e devolvendo ao ambiente. Etiqueto os frascos um por um e anoto a hora e o local exato da coleta, pois esses dados serão fundamentais para a análise posterior. Enquanto encho o último recipiente, penso que, se entendermos melhor essas águas, também poderemos projetar formas mais inteligentes e responsáveis de utilizá-las no futuro."
Misión #1 – Recorre tu mundo,Mission #1 – Explore your world,Mission n°1 – Explore ton monde,Missão #1 – Explore seu mundo
Misión #2 – Capturemos juntos,Mission #2 – Let’s capture together,Mission n°2 – Capturons ensemble,Missão #2 – Vamos capturar juntos
Misión #3 – Tomemos Nota,Mission #3 – Let’s take notes,Mission n°3 – Prenons des notes,Missão #3 – Vamos anotar
Misión #4 – ¿Y las estatuas?,Mission #4 – And the statues?,Mission n°4 – Et les statues ?,Missão #4 – E as estátuas?
Descripcion,Description,Description,Descrição
Objetivos,Objectives,Objectifs,Objetivos
Agua Estancada,Stagnant Water,Eau stagnante,Água estagnada
Idioma,Language,Langue,Idioma